timestamp,open,high,low,close,volume
2024-11-24 23:00:00,97999.99,98000.0,97918.6,97965.24,34.37477
2024-11-24 23:01:00,97965.24,97991.99,97965.24,97972.58,16.6376
2024-11-24 23:02:00,97972.58,98045.0,97959.61,98024.01,68.44312
2024-11-24 23:03:00,98024.0,98100.0,98009.64,98100.0,89.95844
2024-11-24 23:04:00,98100.0,98118.14,98095.99,98118.13,29.25932
2024-11-24 23:05:00,98118.13,98118.14,97969.76,98010.14,26.81496
2024-11-24 23:06:00,98010.15,98178.88,98010.14,98178.87,33.12607
2024-11-24 23:07:00,98178.87,98299.96,98178.87,98299.96,43.81909
2024-11-24 23:08:00,98299.96,98316.13,98211.41,98240.0,66.55737
2024-11-24 23:09:00,98239.99,98300.0,98174.41,98181.2,40.27367
2024-11-24 23:10:00,98181.2,98194.03,98057.83,98151.58,41.85898
2024-11-24 23:11:00,98151.58,98204.0,98151.58,98159.97,34.48342
2024-11-24 23:12:00,98160.7,98333.33,98160.7,98321.62,49.5202
2024-11-24 23:13:00,98321.62,98366.0,98308.01,98323.19,125.7291
2024-11-24 23:14:00,98323.19,98323.2,98225.58,98252.0,17.23841
2024-11-24 23:15:00,98252.0,98312.0,98227.03,98311.99,21.71307
2024-11-24 23:16:00,98312.0,98369.46,98311.98,98341.52,38.54823
2024-11-24 23:17:00,98341.51,98341.52,98257.2,98257.2,18.00233
2024-11-24 23:18:00,98257.21,98257.21,98160.33,98188.0,15.8334
2024-11-24 23:19:00,98188.0,98188.0,98095.65,98188.0,22.50323
2024-11-24 23:20:00,98188.0,98188.0,98062.56,98083.99,24.28531
2024-11-24 23:21:00,98084.0,98087.99,97998.31,98004.34,37.30661
2024-11-24 23:22:00,98004.35,98128.0,98004.34,98128.0,35.78828
2024-11-24 23:23:00,98128.0,98152.0,98064.04,98064.05,26.67717
2024-11-24 23:24:00,98064.04,98083.99,98034.78,98056.64,15.461
2024-11-24 23:25:00,98056.64,98068.0,97988.1,97988.11,17.58382
2024-11-24 23:26:00,97988.11,98049.2,97988.1,98040.04,26.46964
2024-11-24 23:27:00,98040.05,98120.0,98040.04,98092.15,32.2484
2024-11-24 23:28:00,98092.15,98124.0,98072.09,98072.1,12.27365
2024-11-24 23:29:00,98072.09,98072.1,97992.0,97992.01,7.16247
2024-11-24 23:30:00,97992.01,97992.01,97881.68,97903.67,21.95957
2024-11-24 23:31:00,97903.68,97948.0,97867.45,97867.45,18.74104
2024-11-24 23:32:00,97867.44,97867.45,97688.0,97688.01,34.2918
2024-11-24 23:33:00,97688.01,97780.93,97676.3,97780.93,42.2044
2024-11-24 23:34:00,97780.93,97838.77,97774.99,97784.0,40.89405
2024-11-24 23:35:00,97784.01,97797.0,97676.01,97680.01,27.81769
2024-11-24 23:36:00,97680.01,97741.6,97680.01,97716.62,36.77944
2024-11-24 23:37:00,97716.62,97772.51,97696.06,97749.54,30.92803
2024-11-24 23:38:00,97749.53,97756.0,97657.0,97687.99,34.20236
2024-11-24 23:39:00,97688.0,97739.99,97581.01,97618.51,33.1447
2024-11-24 23:40:00,97618.5,97647.99,97531.0,97560.0,57.2165
2024-11-24 23:41:00,97560.0,97677.75,97534.51,97677.75,22.81795
2024-11-24 23:42:00,97677.75,97705.99,97632.0,97632.0,25.01274
2024-11-24 23:43:00,97632.01,97704.0,97612.28,97621.0,42.28373
2024-11-24 23:44:00,97621.01,97708.84,97621.01,97696.04,14.51799
2024-11-24 23:45:00,97696.04,97696.04,97600.0,97631.99,17.2336
2024-11-24 23:46:00,97632.0,97680.0,97600.0,97657.68,17.54351
2024-11-24 23:47:00,97657.68,97755.64,97644.55,97755.63,18.21373
2024-11-24 23:48:00,97755.64,97874.07,97755.63,97850.09,42.17726
2024-11-24 23:49:00,97850.08,97860.85,97792.0,97792.0,27.65173
2024-11-24 23:50:00,97792.0,97911.98,97775.14,97904.65,53.36324
2024-11-24 23:51:00,97904.66,98041.14,97904.66,98026.8,62.33703
2024-11-24 23:52:00,98026.79,98026.8,97944.0,97944.0,16.53578
2024-11-24 23:53:00,97944.0,97996.0,97910.84,97920.22,29.33405
